x,y
44,12
77,49
88,9
78,38
5,67
91,29
14,70
59,13
21,90
18,75
83,1
57,18
25,54
19,65
98,56
21,10
56,15
45,56
35,68
57,0
25,76
73,47
7,59
31,87
92,3
78,37
98,2
27,83
30,68
41,48
42,1
9,11
2,34
84,62
68,3
97,84
5,26
52,14
97,83
97,3
99,43
90,16
74,55
35,25
16,34
99,34
75,55
63,73
24,58
50,76
36,88
12,89
94,43
11,73
44,96
36,21
93,23
51,96
90,24
35,12
69,23
86,26
5,67
43,39
72,11
26,37
78,47
14,96
70,33
61,58
50,23
70,77
32,97
55,17
49,81
16,6
95,75
87,34
41,35
12,59
61,40
65,11
50,5
36,96
17,83
38,62
20,85
65,11
73,93
88,14
43,23
58,89
95,3
91,20
76,13
5,54
12,43
82,87
59,34
91,66
